year,brand,superbowl_ads_link,youtube_link,length,estimated_cost,youtube_views,youtube_likes,tv_viewers,funny,shows_product_quickly,patriotic,celebrity,danger,animals,uses_sex,no_youtube_likes
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-slap/,https://www.youtube.com/watch?v=aOfRpCp6Pgw,30,2.4,74585.0,93.0,93.2,1,1,0,0,1,0,0,74492.0
2007,E-Trade,https://superbowl-ads.com/2007-etrade-one-finger/,https://www.youtube.com/watch?v=jaR5-kefxn4,30,2.4,97481.0,98.0,93.2,1,0,1,0,0,0,0,97383.0
2007,Doritos,https://superbowl-ads.com/2007-doritos-live-the-favor/,https://www.youtube.com/watch?v=kNxgxF-7SfA,30,2.4,1685673.0,2500.0,93.2,1,1,0,0,1,0,1,1683173.0
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/,https://www.youtube.com/watch?v=qIC90Vnc-OI,30,2.4,180328.0,420.0,93.2,1,1,0,0,1,0,0,179908.0
2007,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-video-game/,https://www.youtube.com/watch?v=3Tnm53uXIvg,60,4.8,249361.0,455.0,93.2,0,1,1,0,1,1,0,248906.0
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/,https://www.youtube.com/watch?v=kH50-giCeDM,30,2.4,221417.0,336.0,93.2,1,1,0,0,1,0,0,221081.0
2007,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-happiness-factory/,https://www.youtube.com/watch?v=NwZpO6saPxI,60,4.8,11780.0,30.0,93.2,0,1,0,0,0,1,0,11750.0
2007,Budweiser,https://superbowl-ads.com/2007-budweiser-dalmatian/,https://www.youtube.com/watch?v=esOPYOeotTU,60,4.8,84506.0,50.0,93.2,0,0,0,0,1,1,0,84456.0
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-class-with-carlos-mencia/,https://www.youtube.com/watch?v=670X2MCWzK0,30,2.4,956887.0,1300.0,93.2,1,1,0,1,0,0,0,955587.0
2007,Budweiser,https://superbowl-ads.com/2007-budweiser-don-shula-vs-jayz/,https://www.youtube.com/watch?v=YnGpb8lbPOI,60,4.8,216.0,0.0,93.2,0,0,0,1,0,0,0,216.0
